Data,Hora UTC,"PRES.ATM.NIVEL ESTACAO,HORA(mB)",RADIACAO GLOBAL(Kj/m²),"TEMP.AR-BULBO SECO,HORA(°C)",TEMP.PONTO ORVALHO(°C),TEMP.MAX.HORA ANT.(AUT)(°C),TEMP.MIN.HORA ANT.(AUT)(°C),"UMIDADE RELATIVA AR,HORA(%)","VENTO, DIRECAO HORARIA(gr)(°(gr))","VENTO, RAJADA MAX.(m/s)","VENTO, VELOCIDADE HORARIA(m/s)",MES(NUMERO),"PREC.TOTAL,HORA(mm) (MEDIA)","UMIDADE RELATIVA AR,HORA(%) (MEDIA)","TEMP.AR-BULBO SECO,HORA(°C) (MEDIA)",RADIACAO GLOBAL(Kj/m²) (MEDIA),"PREC.TOTAL,HORA(mm)"
2019-01-01 09:00:00,0900,933.4,5.8,21.3,19.7,21.4,21.0,90.0,262.0,0.3,0.0,1,0.0,90.0,21.3,5.8,0.0
2019-01-01 10:00:00,1000,934.3,195.7,22.3,20.2,22.3,21.3,88.0,94.0,1.3,0.3,1,0.0,89.0,21.8,100.75,0.0
2019-01-01 11:00:00,1100,934.7,625.0,23.9,19.8,23.9,22.3,78.0,311.0,1.8,0.3,1,0.0,85.33333333333333,22.5,275.5,0.0
2019-01-01 12:00:00,1200,935.2,1631.0,25.7,20.1,25.7,23.6,71.0,358.0,3.0,1.1,1,0.0,79.0,23.96666666666667,817.2333333333332,0.0
2019-01-01 13:00:00,1300,935.1,1890.6,26.6,19.3,26.7,24.6,64.0,16.0,3.6,1.1,1,0.0,71.0,25.400000000000002,1382.2,0.0
2019-01-01 14:00:00,1400,934.5,1631.7,26.5,18.4,27.1,26.0,61.0,335.0,4.5,1.3,1,0.0,65.33333333333333,26.266666666666666,1717.7666666666667,0.0
2019-01-01 15:00:00,1500,934.0,2166.2,27.1,17.9,27.8,26.4,57.0,232.0,3.7,0.6,1,0.0,60.666666666666664,26.733333333333334,1896.1666666666667,0.0
2019-01-01 16:00:00,1600,933.0,2681.7,28.7,18.0,28.9,27.0,52.0,352.0,3.2,1.3,1,0.0,56.666666666666664,27.433333333333337,2159.8666666666663,0.0
2019-01-01 17:00:00,1700,931.7,3182.1,29.8,18.4,29.8,28.7,50.0,320.0,5.0,1.5,1,0.0,53.0,28.533333333333335,2676.6666666666665,0.0
2019-01-01 18:00:00,1800,931.1,2335.3,28.8,17.6,30.7,28.6,51.0,347.0,5.3,1.3,1,0.0,51.0,29.099999999999998,2733.0333333333333,0.0
2019-01-01 19:00:00,1900,930.5,819.5,29.1,18.7,29.1,28.2,54.0,23.0,3.5,1.0,1,0.0,51.666666666666664,29.233333333333334,2112.2999999999997,0.0
2019-01-01 20:00:00,2000,930.7,1802.5,30.1,17.4,30.3,29.0,47.0,80.0,4.5,2.7,1,0.0,50.666666666666664,29.333333333333332,1652.4333333333334,0.0
